#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,accel_speed,baro_speed,temperature,drogue_voltage,main_voltage,battery_voltage,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 1372, 3, KJ7SAT,    -0.09, 3,   boost,   33.78,  86044.00, 1357.60,    1.71,    5.09,    5.09, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,    -0.08, 3,   boost,   37.05,  86058.00, 1356.27,    0.38,    5.46,    5.46, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,    -0.07, 3,   boost,   41.41,  86057.00, 1356.37,    0.48,    5.89,    5.89, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,    -0.06, 3,   boost,   49.58,  86059.00, 1356.18,    0.29,    6.38,    6.38, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,    -0.05, 3,   boost,   60.47,  86113.00, 1351.05,   -4.84,    6.94,    6.94, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,    -0.04, 3,   boost,   69.74,  86073.00, 1354.85,   -1.05,    7.59,    7.59, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,    -0.03, 3,   boost,   79.54,  86079.00, 1354.28,   -1.61,    8.33,    8.33, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,    -0.02, 3,   boost,   88.26,  86070.00, 1355.13,   -0.76,    9.14,    9.14, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,    -0.01, 3,   boost,   96.98,  86077.00, 1354.47,   -1.43,   10.02,   10.02, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
6, 1372, 3, KJ7SAT,     0.00, 3,   boost,   93.16,  86079.00, 1354.28,   -1.61,   10.95,   10.95, 32.1, 2.91, 4.05, 4.05, 1, 1,  4,  43.7976062,-120.6514099,  1493.0, 2018,  5, 19, 22,  4,  1,        0,        0,   0,   0,  23.1,2147483647.0,2147483647.0,  0,  0, 24,  0,  0, 19,  0,  0,  0,  0,  0, 19,  0,  0,  0,  0, 25,  0, 25,  0,  0,  0,  0, 19,  0,  0,  0,  0,  0,  0,  0, 19
